translation: x, y, z, rotation: x, y, z, w
0.369291469803,0.25979707815,0.0745298821623,0.00800712082644,0.0581016976671,-0.657367978882,-0.751283847214,
0.364538204763,0.258040065453,0.0805126769036,0.0122504592714,0.0668255993497,-0.658415989444,-0.749581650232,
0.35868514165,0.253571931459,0.087646093952,0.012727755252,0.0605970866923,-0.6587721761,-0.749790115517,
0.351650599126,0.245904160752,0.0940914917835,0.00978925090992,0.0593048451956,-0.660673276224,-0.748263274514,
0.342509787038,0.235411659897,0.100907280282,0.00741571646657,0.0638904762905,-0.663968898388,-0.744988802709,
0.332949317719,0.225090262289,0.10697147863,0.00895169171957,0.0637344700439,-0.665466392749,-0.743647944034,
0.323090820329,0.215285924728,0.111511028759,0.0118553479367,0.0638168421117,-0.666215139951,-0.742929504522,
0.313351596014,0.205869772594,0.115111687137,0.010444065688,0.0664509126783,-0.666645481002,-0.742333483251,
0.304192792553,0.195550824389,0.119436585968,0.0078957716296,0.0655271137591,-0.667108070406,-0.742031452536,
0.296594823821,0.18452224819,0.123356401917,0.00995348856694,0.0619102718994,-0.668751391419,-0.740837109474,
0.287792775932,0.168543648332,0.125228478062,0.0214715741875,0.0601826849706,-0.671449442128,-0.738290364693,
0.277133406534,0.140950007668,0.123952265496,0.0278160735681,0.0661013310286,-0.682136443373,-0.72769963083,
0.273609048258,0.131936765425,0.123187399463,0.0238718134803,0.0711819165239,-0.686196152966,-0.723531693111,
0.263382322333,0.108019235761,0.126268915118,0.00728270439261,0.0603015944098,-0.69665265383,-0.714832679611,
0.257328027772,0.0922981567968,0.130204703381,0.0141400686569,0.058562442379,-0.697719162588,-0.713833642356,
0.249664297087,0.07658123931,0.134235377444,0.00976464141618,0.04566537554,-0.699240761999,-0.713359433956,
0.241281522627,0.0650821644992,0.133294798937,0.00209339454155,0.0495519752826,-0.695415648177,-0.716894201201,
0.236001951506,0.0567526888934,0.132352394484,0.0140207715089,0.047190461684,-0.693377090732,-0.718891291045,
0.231143299325,0.0457743528162,0.129343818043,0.0267220675824,0.0497002207106,-0.694952869285,-0.716837728247,
0.225557968358,0.0325002047447,0.126680697051,0.0143209079194,0.0521876811554,-0.699472864374,-0.712607233711,
0.218486369811,0.0194432519368,0.123211579703,0.00745529136839,0.0472357655214,-0.700422105932,-0.712125041413,
0.21235125332,0.00952667100127,0.122353501259,0.00963155507023,0.0427051671423,-0.701839643049,-0.710988479015,
0.20399687178,-0.00160823803817,0.123336905365,0.00874804964597,0.0306632750997,-0.702919566091,-0.710554233534,
0.194798232236,-0.0130932815935,0.124045414277,-0.00162939600908,0.0208483581015,-0.704188651444,-0.70970489234,
0.187807840315,-0.0250554381711,0.117522939696,-0.0109422958561,0.0282229144908,-0.708223388451,-0.705339184584,
0.176944635855,-0.0409209905851,0.117238186972,-0.0254554896357,0.0400616095164,-0.715227323109,-0.697278252758,
0.164928905541,-0.0588862515995,0.117885800947,-0.0110061401982,0.0427230040329,-0.721204559332,-0.691315842002,
0.144717788535,-0.097901279266,0.116475383017,0.00305532430214,0.041799317249,-0.734668603964,-0.677130359991,
0.138556416489,-0.120785113791,0.114689578436,-0.0201844569659,0.0432337729812,-0.74592883171,-0.66431438837,
0.134942414385,-0.14491578808,0.107293280643,-0.0231044303263,0.0269202269124,-0.751981925352,-0.658228433468,
0.129773429741,-0.162391267262,0.100947363987,0.00439666996201,0.035417255795,-0.746596855589,-0.664318765737,
0.128261638127,-0.173230324162,0.091296608681,0.018845002342,0.0415516357619,-0.733505759202,-0.678150152009,
0.128008916054,-0.182872808354,0.0815554393636,0.0211905937125,0.0435498712426,-0.728484748874,-0.683347889519,
0.128570429245,-0.189269413479,0.0729328297812,0.0193866939763,0.0428566963195,-0.728760995729,-0.683150694051,
0.130578884923,-0.188980351262,0.0696148879629,0.0183017683525,0.0294870688948,-0.733515124424,-0.678786505673,
0.132037911593,-0.188552188159,0.0698137824203,0.0111363812383,0.0241714032803,-0.73476714345,-0.677797144566,
0.132186825987,-0.188537568437,0.0698768743672,0.0119805440796,0.0242909066526,-0.734729373854,-0.67781941962,
0.132053063621,-0.188389233026,0.0702183369436,0.013999779331,0.0252273140932,-0.734819330563,-0.677648980102,
task finished.
